"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"MASA",0.962962962962963,0.259259259259259,1.14814814814815,2,54,120,"Cameroon",2004,0,0
"MATAKAM",0.859649122807018,0,1.33333333333333,5,114,120,"Cameroon",2004,0,0
"MBERE",0.785714285714285,0,2.67857142857143,1,28,120,"Cameroon",2004,0,0
"MBUM",0.60327868852459,0.652459016393443,3.78688524590164,14,305,120,"Cameroon",2004,0,0
"MUM",0.5,0.491150442477876,2.95575221238938,8,226,120,"Cameroon",2004,3247,8.08579470128157
"MUNDANG",0.966101694915254,0,1.64406779661017,2,59,120,"Cameroon",2004,0,0
"NAMSHI",0.5625,0,1.5,1,32,120,"Cameroon",2004,0,0
"NDOB",0.721649484536082,0.314432989690722,2.25773195876289,10,194,120,"Cameroon",2004,3200,8.07121853996986
"NEN",0.363636363636364,1,3.45454545454546,1,11,120,"Cameroon",2004,659,6.49223983502047
"NGUMBA",0.727272727272727,0.136363636363636,3.22727272727273,4,44,120,"Cameroon",2004,0,0
"NSAW",0.841463414634146,0.304878048780488,2.48780487804878,5,82,120,"Cameroon",2004,471,6.15697898558556
"NSUNGLI",0.666666666666667,0,2.5,1,12,120,"Cameroon",2004,0,0
"PODOKWO",0.776315789473684,0.210526315789474,1.75,3,76,120,"Cameroon",2004,0,0
"PUKU",0.661971830985915,0.577464788732394,4,4,71,120,"Cameroon",2004,0,0
"SANGA",0.618181818181818,0.563636363636364,3.56363636363637,2,55,120,"Cameroon",2004,8343,9.02929799668061
"SHUWA",0.821428571428571,0,1.66071428571429,3,56,120,"Cameroon",2004,0,0
"TIGON",0.717171717171717,0.646464646464647,2.47474747474747,3,99,120,"Cameroon",2004,0,0
"TIKAR",0.612903225806452,0.838709677419355,2.90322580645161,2,31,120,"Cameroon",2004,1035,6.94312242281943
"TUBURI",0.91304347826087,0.202898550724638,1.6231884057971,7,207,120,"Cameroon",2004,0,0
"WIDEKUM",0.753623188405797,0.253623188405797,2.23188405797101,8,138,120,"Cameroon",2004,0,0
"BAJUN",0.0909090909090909,0,1.81818181818182,1,11,404,"Kenya",2014,0,0
"BARARETTA",0.630390143737166,0.375770020533881,1.79671457905544,54,487,404,"Kenya",2014,85,4.45434729625351
"BONI",0.625,0,1.125,4,32,404,"Kenya",2014,0,0
"BORAN",0.37910447761194,0.232835820895522,1.68059701492537,37,335,404,"Kenya",2014,52,3.97029191355212
"CHAGA",0.339622641509434,0.490566037735849,3.26415094339623,7,53,404,"Kenya",2014,174,5.16478597392351
"DIGO",0.724137931034483,0,1.10344827586207,3,29,404,"Kenya",2014,8700,9.07119324056602
"DOROBO",0.400990099009901,0.356435643564356,3.0049504950495,21,202,404,"Kenya",2014,0,0
"DURUMA",0.618421052631579,0.31578947368421,2.10526315789474,8,76,404,"Kenya",2014,1132,7.03262426102801
"GUSII",0.505980861244019,0.327751196172249,2.72488038277512,82,836,404,"Kenya",2014,0,0
"GYRIAMA",0.363636363636364,0,1.36363636363636,2,33,404,"Kenya",2014,0,0
"KAMBA",0.4199604743083,0.294466403162055,2.70750988142292,97,1012,404,"Kenya",2014,2640,7.87891291229713
"KARAMOJONG",0.625,0,1.0625,2,16,404,"Kenya",2014,0,0
"KEYU",0.398936170212766,0.271276595744681,2.65425531914894,20,188,404,"Kenya",2014,0,0
"KIKUYU",0.223690420009438,0.558282208588957,3.9976403964134,238,2119,404,"Kenya",2014,174,5.16478597392351
"KIPSIGI",0.505851755526658,0.349804941482445,2.76853055916775,78,769,404,"Kenya",2014,0,0
"LUO",0.547572815533981,0.293203883495146,2.87637540453074,162,1545,404,"Kenya",2014,435,6.07764224334903
"MASAI",0.253256150506512,0.309696092619392,2.74963820549928,72,691,404,"Kenya",2014,1132,7.03262426102801
"MERU",0.419207317073171,0.245426829268293,2.96493902439024,75,656,404,"Kenya",2014,86,4.46590811865458
"NANDI",0.290845886442642,0.412514484356895,3.39745075318656,83,863,404,"Kenya",2014,0,0
"POKOMO",0.413373860182371,0.626139817629179,2.51063829787234,32,329,404,"Kenya",2014,86,4.46590811865458
"RENDILE",0.454545454545455,0,1,3,22,404,"Kenya",2014,9,2.30258509299405
"RESHIAT",1,0,1,1,5,404,"Kenya",2014,0,0
"SABEI",0.35593220338983,0.135593220338983,2.40677966101695,6,59,404,"Kenya",2014,0,0
"SAMBURU",0.29296066252588,0.355072463768116,2.7360248447205,105,966,404,"Kenya",2014,0,0
"SANYE",0.556962025316456,0,1.12658227848101,7,79,404,"Kenya",2014,0,0
"SEGEJU",0.370044052863436,0.435022026431718,2.965859030837,92,908,404,"Kenya",2014,697,6.54821910276237
"SUK",0.452651515151515,0.227272727272727,2.29924242424242,57,528,404,"Kenya",2014,0,0
"TEITA",0.294736842105263,0.278947368421053,3.38421052631579,23,190,404,"Kenya",2014,348,5.85507192220243
"TURKANA",0.625,0.398148148148148,1.48611111111111,26,216,404,"Kenya",2014,0,0
"WANGA",0.586766541822722,0.240948813982522,2.8501872659176,75,801,404,"Kenya",2014,847,6.7428806357919
